Applicant_ID,Applicant_Income,Coapplicant_Income,Employment_Status,Age,Marital_Status,Dependents,Credit_Score,Existing_Loans,DTI_Ratio,Savings,Collateral_Value,Loan_Amount,Loan_Term,Loan_Purpose,Property_Area,Education_Level,Gender,Employer_Category,Loan_Approved
A00206,186997,,Business,54,Married,,492,1,0.5,64532,,553949,12,Business,Semi-Urban,Postgraduate,Female,Private,No
A00207,116783,96564.0,Business,57,Single,4.0,897,5,0.64,364836,,448280,36,Education,Rural,Undergraduate,Male,Private,Yes
A00208,40586,61706.0,Salaried,56,Single,3.0,564,5,0.23,717730,1457744.0,433922,240,Personal,Semi-Urban,Postgraduate,Female,Private,No
A00209,45875,61674.0,Self-Employed,60,Single,3.0,897,4,0.62,500158,865975.0,199350,12,Education,Urban,Graduate,Female,Private,Yes
A00210,164265,59974.0,Salaried,32,Married,3.0,623,5,0.29,516265,1445149.0,219473,36,Education,Urban,Undergraduate,Male,Private,Yes
A00211,38079,,Business,48,Single,0.0,739,3,0.42,406936,69583.0,1051180,36,Education,Urban,Undergraduate,Male,Self,No
A00212,80227,,Salaried,27,Single,2.0,619,1,0.2,532786,,854363,60,Personal,Semi-Urban,Undergraduate,Male,Private,No
A00213,143497,47087.0,Business,22,Married,0.0,468,3,0.54,240217,600316.0,529027,36,Home,Semi-Urban,Undergraduate,Female,Self,No
A00214,178351,6368.0,Salaried,22,Single,3.0,410,5,0.37,728255,,151156,180,Education,Urban,Undergraduate,Male,Private,No
A00215,125328,86725.0,Unemployed,60,Married,2.0,832,2,0.6,739764,,1320107,12,Home,Semi-Urban,Graduate,Male,Private,No
A00216,152139,,Self-Employed,31,Single,1.0,719,2,0.51,579765,2131862.0,132639,12,Home,Rural,Graduate,Male,Self,Yes
A00217,190380,64763.0,Self-Employed,25,Single,3.0,392,4,0.37,273322,2752544.0,262421,12,Home,Urban,Graduate,Female,Private,No
A00218,192410,,Self-Employed,23,Single,,418,0,0.3,150117,2832312.0,70284,12,Personal,Semi-Urban,Graduate,Male,Private,Yes
A00219,119923,,Business,51,Married,1.0,694,5,0.18,685364,749520.0,934452,12,Business,Rural,Postgraduate,Female,Govt,No
A00220,175254,,Salaried,29,Single,,329,5,0.36,516833,,1063091,36,Home,Rural,Undergraduate,Male,Self,No
A00221,103683,68039.0,Unemployed,36,Married,0.0,743,5,0.19,367544,,1060679,180,Education,Rural,Postgraduate,Female,Govt,Yes
A00222,34625,,Self-Employed,42,Single,1.0,628,1,0.43,57796,2176215.0,633337,12,Business,Semi-Urban,Undergraduate,Female,Govt,No
A00223,145667,,Salaried,22,Married,4.0,421,3,0.43,428037,1779473.0,265258,120,Personal,Rural,Undergraduate,Male,Self,No
A00224,191022,,Unemployed,35,Single,0.0,672,0,0.53,353098,,1003071,12,Education,Urban,Postgraduate,Female,Self,No
A00225,91541,,Salaried,31,Married,0.0,408,0,0.25,152271,1766354.0,1082684,240,Business,Urban,Postgraduate,Male,Self,No
A00226,103587,,Unemployed,58,Married,4.0,347,5,0.68,477388,1968423.0,308409,60,Business,Rural,Graduate,Male,Self,No
A00227,48654,,Self-Employed,45,Single,3.0,629,4,0.26,643576,2954620.0,928003,240,Education,Urban,Postgraduate,Female,Self,No
A00228,158604,41144.0,Business,60,Married,4.0,505,1,0.69,724964,1498266.0,659389,120,Personal,Rural,Graduate,Female,Self,No
A00229,140926,,Unemployed,48,Married,1.0,846,2,0.33,553122,496569.0,76781,36,Education,Semi-Urban,Undergraduate,Female,Govt,Yes
A00230,31261,,Business,23,Single,1.0,508,4,0.55,479579,479832.0,802211,120,Personal,Rural,Undergraduate,Male,Private,No
A00231,116595,,Business,21,Single,4.0,865,0,0.6,217952,,577100,120,Education,Rural,Graduate,Female,Private,Yes
A00232,61511,89477.0,Self-Employed,53,Married,1.0,491,1,0.27,400521,,300303,120,Personal,Urban,Postgraduate,Female,Self,No
A00233,55581,5235.0,Business,24,Single,0.0,630,4,0.39,650512,,1361488,240,Personal,Rural,Graduate,Male,Self,No
A00234,32872,66209.0,Unemployed,55,Single,2.0,725,4,0.63,101411,1515502.0,896026,36,Personal,Urban,Undergraduate,Female,Self,No
A00235,185210,1153.0,Business,36,Single,3.0,654,3,0.68,648512,2655215.0,1396925,240,Home,Semi-Urban,Postgraduate,Female,Govt,No
A00236,150493,,Salaried,39,Married,,798,0,0.67,206863,1393489.0,1416353,12,Education,Rural,Undergraduate,Male,Self,Yes
A00237,126203,13621.0,Business,48,Single,0.0,850,5,0.11,80623,2927475.0,1405937,12,Home,Urban,Graduate,Female,Self,Yes
A00238,33465,75361.0,Self-Employed,45,Married,4.0,564,3,0.29,665830,,996079,12,Home,Rural,Undergraduate,Male,Self,No
A00239,34028,46884.0,Unemployed,40,Married,3.0,596,5,0.33,95707,,1322060,24,Education,Urban,Undergraduate,Female,Self,No
A00240,92326,83105.0,Salaried,44,Single,4.0,605,5,0.17,585412,2378131.0,73383,120,Home,Semi-Urban,Graduate,Female,Govt,Yes
A00241,123174,84663.0,Business,35,Married,4.0,464,1,0.21,270018,865063.0,1343701,60,Home,Semi-Urban,Undergraduate,Male,Private,No
A00242,40743,,Salaried,29,Married,2.0,638,2,0.27,692313,1033702.0,1457808,60,Business,Semi-Urban,Undergraduate,Female,Self,No
A00243,168136,,Business,31,Single,2.0,623,3,0.53,333429,1082533.0,60133,240,Personal,Urban,Undergraduate,Female,Private,No
A00244,136332,,Salaried,56,Married,2.0,612,3,0.61,189308,2757639.0,278238,180,Home,Rural,Graduate,Male,Self,No
A00245,180577,,Salaried,56,Single,3.0,517,0,0.49,574868,,596552,24,Personal,Urban,Postgraduate,Male,Private,No
A00246,110385,65820.0,Business,31,Married,,544,4,0.21,152189,1921584.0,1128222,180,Business,Semi-Urban,Graduate,Male,Private,No
A00247,75751,,Self-Employed,23,Married,0.0,678,1,0.33,221818,,1452125,180,Personal,Urban,Undergraduate,Female,Self,No
A00248,84026,75842.0,Self-Employed,45,Married,4.0,685,5,0.41,621225,2790292.0,816082,60,Personal,Semi-Urban,Postgraduate,Female,Self,No
A00249,16729,65776.0,Salaried,35,Married,2.0,750,1,0.23,544535,,211665,120,Home,Rural,Graduate,Female,Private,Yes
A00250,44711,,Salaried,58,Married,1.0,790,1,0.25,683700,1773436.0,388157,180,Home,Rural,Graduate,Male,Govt,Yes
A00251,82701,,Unemployed,22,Single,1.0,877,5,0.37,302223,409655.0,1437779,24,Business,Rural,Graduate,Male,Self,Yes
A00252,187922,,Self-Employed,42,Married,0.0,471,5,0.24,630510,2527139.0,1000995,12,Education,Rural,Undergraduate,Female,Govt,No
A00253,173731,12622.0,Business,59,Married,4.0,787,4,0.16,562244,2161115.0,131865,120,Home,Rural,Undergraduate,Female,Self,Yes
A00254,125279,48546.0,Self-Employed,35,Single,1.0,842,3,0.36,404755,1520178.0,1061086,240,Home,Semi-Urban,Undergraduate,Female,Private,Yes
A00255,64550,716.0,Self-Employed,28,Single,2.0,891,4,0.51,12543,1622989.0,1140019,12,Education,Semi-Urban,Undergraduate,Female,Private,No
A00256,155536,,Business,46,Single,2.0,582,5,0.21,438301,,477176,36,Personal,Rural,Postgraduate,Male,Self,No
A00257,46217,98017.0,Business,31,Married,1.0,757,5,0.57,229875,,260299,60,Home,Urban,Graduate,Female,Self,Yes
A00258,129131,11552.0,Self-Employed,44,Single,,569,1,0.66,643613,,217855,120,Home,Urban,Undergraduate,Female,Private,No
A00259,17807,,Business,59,Married,2.0,499,0,0.47,545869,2979510.0,1120696,24,Home,Urban,Graduate,Female,Private,No
A00260,107570,,Business,33,Single,2.0,715,4,0.43,21112,337801.0,1135785,240,Personal,Urban,Undergraduate,Male,Private,No
A00261,120894,75354.0,Self-Employed,47,Married,4.0,567,1,0.4,116636,2393067.0,1111658,36,Personal,Rural,Postgraduate,Female,Self,No
A00262,141780,,Self-Employed,50,Married,,769,5,0.25,33679,2071529.0,1280664,180,Education,Semi-Urban,Postgraduate,Female,Self,Yes
A00263,155417,,Salaried,26,Single,2.0,554,2,0.43,711423,1484422.0,886618,36,Education,Rural,Postgraduate,Male,Self,No
A00264,194072,,Business,36,Single,1.0,504,1,0.6,221823,1011366.0,606595,240,Home,Urban,Graduate,Female,Self,No
A00265,16736,70972.0,Business,60,Single,3.0,793,2,0.39,521256,,711477,24,Education,Urban,Undergraduate,Female,Private,Yes
A00266,156759,,Salaried,32,Married,,703,5,0.29,131215,,1008809,24,Business,Rural,Graduate,Female,Private,Yes
A00267,175636,34039.0,Self-Employed,36,Single,1.0,861,2,0.32,499241,,614990,60,Personal,Semi-Urban,Postgraduate,Female,Private,Yes
A00268,62156,74895.0,Self-Employed,35,Married,1.0,889,5,0.43,760829,1182248.0,259442,240,Education,Semi-Urban,Graduate,Male,Private,Yes
A00269,145966,,Salaried,37,Married,1.0,798,2,0.16,600417,,1228889,240,Personal,Semi-Urban,Undergraduate,Male,Private,Yes
A00270,102728,,Business,56,Married,4.0,668,4,0.17,365857,,590467,120,Education,Semi-Urban,Postgraduate,Female,Self,No
A00271,148809,,Unemployed,60,Single,3.0,380,3,0.62,491279,2699592.0,650883,180,Business,Urban,Graduate,Male,Private,No
A00272,74825,,Self-Employed,38,Single,3.0,598,5,0.63,680958,,1319584,24,Education,Urban,Graduate,Male,Self,No
A00273,80967,97501.0,Salaried,46,Single,4.0,515,1,0.43,105195,,266026,240,Home,Urban,Postgraduate,Male,Govt,No
A00274,186660,,Salaried,39,Married,0.0,534,1,0.42,661912,580209.0,979374,180,Personal,Semi-Urban,Postgraduate,Female,Self,No
A00275,86411,,Business,55,Single,4.0,438,5,0.48,624531,,421272,180,Personal,Semi-Urban,Postgraduate,Male,Govt,No
A00276,130831,,Self-Employed,30,Married,,722,2,0.31,16068,50387.0,686638,60,Business,Semi-Urban,Graduate,Female,Private,Yes
A00277,171500,30305.0,Business,33,Single,3.0,861,2,0.25,592783,,913472,24,Personal,Urban,Postgraduate,Male,Self,Yes
A00278,175750,,Self-Employed,55,Married,,591,5,0.21,437961,838531.0,613760,60,Business,Semi-Urban,Undergraduate,Female,Govt,No
A00279,99054,2542.0,Self-Employed,22,Married,1.0,350,4,0.18,112241,,439939,12,Education,Urban,Postgraduate,Male,Private,No
A00280,125164,,Self-Employed,23,Married,4.0,680,3,0.26,89120,662736.0,742581,60,Education,Urban,Postgraduate,Female,Govt,No
A00281,46971,93674.0,Salaried,36,Single,3.0,694,3,0.41,213855,1982880.0,120276,180,Personal,Semi-Urban,Graduate,Male,Self,No
A00282,159069,68278.0,Unemployed,40,Single,2.0,559,3,0.68,382934,268470.0,466753,12,Education,Semi-Urban,Undergraduate,Male,Private,No
A00283,78724,1170.0,Salaried,51,Married,3.0,895,5,0.56,630173,,1493693,12,Personal,Rural,Graduate,Male,Private,No
A00284,183971,20174.0,Self-Employed,35,Married,0.0,428,3,0.58,590472,,714250,180,Business,Semi-Urban,Undergraduate,Male,Private,No
A00285,25351,,Unemployed,55,Single,2.0,872,2,0.43,203994,2426919.0,1077797,240,Education,Urban,Undergraduate,Male,Private,No
A00286,92508,,Self-Employed,53,Married,2.0,764,0,0.47,774295,828187.0,844911,180,Home,Rural,Undergraduate,Female,Govt,Yes
A00287,152381,,Business,60,Married,0.0,864,1,0.17,343270,,643764,240,Education,Urban,Graduate,Male,Govt,Yes
A00288,142236,25115.0,Salaried,45,Married,0.0,332,4,0.13,518707,,1429760,24,Business,Urban,Postgraduate,Male,Private,No
A00289,161281,,Self-Employed,24,Married,1.0,677,5,0.54,283727,2268874.0,1343802,120,Home,Urban,Undergraduate,Male,Self,No
A00290,116012,24832.0,Business,36,Single,,838,5,0.55,660700,,1245434,60,Business,Urban,Graduate,Male,Self,No
A00291,120265,,Self-Employed,59,Single,,461,4,0.61,374438,,979063,36,Education,Rural,Undergraduate,Male,Private,No
A00292,159241,,Business,49,Married,2.0,668,3,0.46,5205,,882759,12,Personal,Urban,Graduate,Female,Govt,No
A00293,195805,36170.0,Business,50,Married,1.0,396,0,0.32,168690,,795864,36,Personal,Urban,Undergraduate,Female,Self,Yes
A00294,71999,96241.0,Self-Employed,32,Married,,632,3,0.46,728092,2997957.0,1073989,240,Business,Urban,Graduate,Female,Private,No
A00295,128850,54594.0,Business,59,Married,2.0,532,5,0.13,669678,,73979,120,Education,Semi-Urban,Undergraduate,Male,Govt,No
A00296,28243,,Self-Employed,57,Married,1.0,756,4,0.27,99458,,1108494,36,Home,Semi-Urban,Undergraduate,Male,Self,Yes
A00297,119645,34413.0,Unemployed,48,Married,4.0,708,4,0.39,146422,2067135.0,323416,120,Education,Urban,Graduate,Female,Private,Yes
A00298,99780,89749.0,Business,47,Married,2.0,415,5,0.29,388010,1510909.0,938229,24,Personal,Rural,Postgraduate,Male,Private,No
A00299,26764,30603.0,Salaried,26,Single,0.0,682,1,0.67,780507,278749.0,285660,36,Home,Semi-Urban,Postgraduate,Female,Govt,No
A00300,101999,27395.0,Business,54,Married,3.0,508,4,0.52,580458,2075959.0,592445,120,Home,Semi-Urban,Graduate,Male,Private,No
A00301,67611,,Unemployed,21,Single,0.0,354,3,0.5,412523,,189665,12,Personal,Rural,Postgraduate,Male,Private,No
A00302,148310,93020.0,Self-Employed,59,Married,0.0,623,3,0.4,97296,831891.0,1164763,24,Personal,Semi-Urban,Postgraduate,Female,Self,No
A00303,56157,,Self-Employed,40,Married,4.0,660,2,0.48,530600,1207117.0,545357,36,Education,Urban,Postgraduate,Female,Self,No
A00304,50982,,Salaried,60,Single,2.0,833,5,0.24,724871,,1361820,120,Personal,Semi-Urban,Undergraduate,Male,Govt,Yes
A00305,186041,18163.0,Business,54,Married,1.0,441,2,0.29,455955,658813.0,333645,36,Education,Rural,Graduate,Female,Private,No
A00306,122807,,Business,33,Single,4.0,580,1,0.56,142935,824882.0,273915,120,Education,Rural,Graduate,Male,Self,No
A00307,21837,47089.0,Self-Employed,53,Single,3.0,788,1,0.21,496534,,1318172,24,Education,Urban,Graduate,Male,Private,Yes
A00308,18935,,Self-Employed,33,Single,3.0,527,5,0.62,74348,,478997,24,Business,Semi-Urban,Graduate,Female,Self,No
A00309,97024,51662.0,Salaried,49,Single,4.0,833,0,0.69,49476,,1008189,240,Home,Urban,Postgraduate,Female,Private,Yes
A00310,94837,,Business,39,Single,0.0,470,3,0.38,62196,2943872.0,1335835,180,Home,Urban,Undergraduate,Male,Private,No
A00311,123412,,Self-Employed,50,Married,,325,1,0.15,752251,,1287981,180,Home,Urban,Graduate,Female,Self,No
A00312,110143,,Self-Employed,31,Married,1.0,823,4,0.56,582079,1646381.0,844146,240,Education,Urban,Undergraduate,Male,Private,No
A00313,95756,,Self-Employed,32,Married,3.0,595,5,0.47,142962,900821.0,296528,60,Business,Rural,Graduate,Female,Govt,No
A00314,71852,,Business,49,Single,4.0,764,3,0.25,635421,2567010.0,216524,180,Education,Urban,Graduate,Male,Govt,Yes
A00315,186252,45746.0,Self-Employed,57,Married,1.0,448,0,0.13,317938,1438780.0,1315181,180,Personal,Rural,Undergraduate,Male,Private,No
A00316,166772,47210.0,Salaried,41,Single,3.0,395,2,0.61,402346,,822946,24,Home,Rural,Postgraduate,Female,Self,No
A00317,123464,68766.0,Business,24,Single,3.0,514,4,0.39,604121,2688127.0,279223,120,Personal,Semi-Urban,Undergraduate,Female,Govt,No
A00318,176032,,Salaried,52,Married,0.0,832,5,0.53,193646,2606033.0,1082856,12,Business,Rural,Graduate,Male,Self,No
A00319,123693,54269.0,Self-Employed,56,Married,2.0,641,2,0.51,227652,97384.0,1386941,36,Personal,Urban,Graduate,Female,Private,No
A00320,118821,94948.0,Business,42,Married,3.0,479,1,0.58,710139,,758704,24,Business,Rural,Postgraduate,Female,Private,No
A00321,29685,,Self-Employed,41,Single,0.0,878,5,0.45,566916,128510.0,1214290,24,Personal,Urban,Postgraduate,Female,Self,No
A00322,155056,,Salaried,28,Single,1.0,491,4,0.26,744525,1369106.0,696512,36,Business,Semi-Urban,Graduate,Female,Govt,No
A00323,44420,49049.0,Self-Employed,49,Single,2.0,506,0,0.21,31146,2074436.0,1111147,24,Home,Rural,Undergraduate,Male,Govt,No
A00324,24582,,Salaried,21,Married,4.0,834,0,0.3,51168,2931706.0,702175,240,Personal,Urban,Undergraduate,Female,Self,Yes
A00325,70009,42058.0,Salaried,38,Single,0.0,497,2,0.26,339652,1900173.0,1166263,12,Home,Urban,Undergraduate,Female,Self,No
A00326,98488,35527.0,Salaried,36,Married,0.0,590,4,0.42,79703,,409189,60,Home,Urban,Postgraduate,Male,Govt,No
A00327,126795,51369.0,Self-Employed,43,Married,0.0,756,4,0.68,353475,881089.0,705235,240,Business,Urban,Postgraduate,Female,Self,Yes
A00328,183930,,Business,35,Single,2.0,781,1,0.34,651910,,351406,60,Business,Urban,Graduate,Female,Govt,Yes
A00329,107128,,Business,43,Married,2.0,474,2,0.34,607593,584329.0,1317603,120,Home,Semi-Urban,Undergraduate,Female,Private,No
A00330,169805,54190.0,Business,31,Single,3.0,549,4,0.22,407460,,1061612,120,Personal,Rural,Undergraduate,Male,Govt,No
A00331,188699,87766.0,Self-Employed,28,Married,2.0,887,3,0.43,630030,,1291856,60,Home,Rural,Graduate,Female,Private,Yes
A00332,144576,84540.0,Business,29,Married,3.0,392,1,0.55,796662,2718134.0,1267958,120,Personal,Semi-Urban,Undergraduate,Female,Govt,No
A00333,68912,,Business,40,Single,1.0,606,4,0.45,757658,1493950.0,961688,240,Personal,Urban,Postgraduate,Male,Govt,No
A00334,199380,,Business,22,Single,3.0,412,2,0.48,457686,,543336,60,Business,Rural,Graduate,Male,Private,No
A00335,51456,,Business,30,Married,1.0,668,3,0.11,707615,576591.0,654967,180,Business,Rural,Postgraduate,Male,Govt,No
A00336,50971,,Business,59,Single,3.0,766,5,0.41,658523,,942766,36,Education,Urban,Postgraduate,Male,Self,No
A00337,145588,95802.0,Business,47,Single,,813,2,0.69,609349,1589183.0,1195393,36,Home,Rural,Postgraduate,Male,Govt,Yes
A00338,152994,,Business,26,Married,,776,4,0.38,644705,420970.0,1147558,180,Personal,Rural,Graduate,Female,Self,Yes
A00339,17826,,Salaried,57,Single,,824,3,0.27,446467,,745235,240,Personal,Urban,Undergraduate,Female,Self,Yes
A00340,59323,75085.0,Salaried,60,Single,2.0,598,5,0.18,305748,2083231.0,107248,24,Personal,Semi-Urban,Postgraduate,Male,Self,No
A00341,44242,79144.0,Business,49,Married,2.0,454,5,0.39,188919,1145772.0,825457,12,Education,Rural,Graduate,Female,Private,No
A00342,115444,,Salaried,57,Married,1.0,471,1,0.55,61964,,773676,60,Business,Semi-Urban,Postgraduate,Female,Self,No
A00343,154597,,Self-Employed,37,Single,,699,3,0.27,561208,1873407.0,354401,36,Home,Urban,Undergraduate,Female,Private,Yes
A00344,175035,,Business,38,Married,,643,2,0.38,272747,,256101,180,Education,Rural,Postgraduate,Male,Private,Yes
A00345,158553,1386.0,Unemployed,47,Single,2.0,369,0,0.31,555779,,254889,24,Home,Urban,Undergraduate,Male,Govt,Yes
A00346,170749,86062.0,Business,28,Married,0.0,424,5,0.49,639059,,231165,180,Education,Semi-Urban,Postgraduate,Female,Self,No
A00347,34848,,Self-Employed,41,Single,2.0,583,3,0.57,174833,,589673,12,Personal,Semi-Urban,Graduate,Female,Govt,No
A00348,143901,,Business,52,Married,3.0,482,5,0.23,155861,,277395,180,Personal,Urban,Graduate,Male,Govt,No
A00349,164774,,Unemployed,52,Single,2.0,756,0,0.66,689578,2735760.0,362170,24,Personal,Semi-Urban,Undergraduate,Male,Self,Yes
A00350,143628,,Self-Employed,25,Married,4.0,713,5,0.67,241817,,1182732,120,Personal,Semi-Urban,Undergraduate,Female,Private,No
A00351,29468,82873.0,Salaried,42,Single,,674,4,0.21,486966,1266174.0,218730,24,Personal,Rural,Postgraduate,Male,Self,Yes
A00352,195575,,Business,49,Married,3.0,386,5,0.12,151740,199729.0,447335,60,Home,Rural,Undergraduate,Female,Private,No
A00353,154969,58891.0,Unemployed,24,Single,,337,2,0.17,761035,,758247,240,Education,Rural,Undergraduate,Male,Govt,No
A00354,24667,96398.0,Salaried,22,Married,1.0,800,5,0.52,653410,242106.0,1038219,180,Home,Semi-Urban,Graduate,Female,Self,No
A00355,59745,77469.0,Self-Employed,52,Single,,408,0,0.58,650533,975148.0,1297758,180,Business,Semi-Urban,Graduate,Male,Private,No
A00356,70897,5975.0,Business,28,Married,3.0,643,0,0.52,153097,1791283.0,624396,24,Home,Urban,Graduate,Female,Govt,No
A00357,19097,63827.0,Self-Employed,32,Married,1.0,306,0,0.35,746071,,236942,24,Personal,Rural,Postgraduate,Female,Govt,Yes
A00358,60756,80024.0,Salaried,52,Married,1.0,484,5,0.31,97296,,1333561,12,Home,Rural,Postgraduate,Male,Private,No
A00359,179223,86419.0,Salaried,33,Married,0.0,583,0,0.4,161465,,286305,180,Personal,Semi-Urban,Graduate,Female,Private,No
A00360,102633,,Salaried,24,Married,1.0,344,0,0.39,189431,712891.0,1176926,180,Business,Rural,Undergraduate,Female,Private,No
A00361,67101,,Self-Employed,41,Married,0.0,535,0,0.62,107827,,527693,60,Business,Urban,Postgraduate,Male,Govt,No
A00362,174759,59636.0,Salaried,29,Single,1.0,696,2,0.69,759787,,1009950,12,Home,Semi-Urban,Graduate,Male,Private,No
A00363,135213,54817.0,Business,39,Married,0.0,651,1,0.45,169404,2725962.0,1315916,60,Business,Urban,Undergraduate,Female,Private,No
A00364,88182,,Unemployed,41,Single,0.0,552,1,0.65,612615,982840.0,960685,12,Business,Rural,Undergraduate,Male,Private,No
A00365,154230,,Self-Employed,52,Married,1.0,400,3,0.52,92127,2392464.0,554389,36,Personal,Urban,Undergraduate,Male,Govt,No
A00366,140772,,Self-Employed,50,Married,,465,5,0.69,788586,2498047.0,1246175,60,Education,Semi-Urban,Undergraduate,Female,Self,No
A00367,181042,178.0,Business,42,Married,,694,5,0.55,39303,,1163420,12,Personal,Rural,Graduate,Female,Govt,No
A00368,44089,,Unemployed,23,Married,2.0,776,4,0.44,389232,785124.0,816658,24,Home,Rural,Postgraduate,Male,Self,No
A00369,74097,,Self-Employed,48,Married,3.0,573,4,0.31,62105,,631215,180,Personal,Semi-Urban,Undergraduate,Female,Self,No
A00370,196724,8601.0,Self-Employed,26,Married,,768,0,0.17,192497,1259522.0,869320,24,Business,Urban,Graduate,Male,Private,Yes
A00371,124192,89443.0,Unemployed,47,Married,1.0,785,2,0.27,778544,2754002.0,980841,240,Personal,Semi-Urban,Undergraduate,Female,Self,Yes
A00372,184358,,Self-Employed,49,Married,2.0,842,4,0.64,323853,2429225.0,1010510,24,Business,Semi-Urban,Postgraduate,Male,Govt,No
A00373,107568,,Business,31,Married,1.0,470,4,0.6,304102,814539.0,1172640,24,Home,Urban,Postgraduate,Male,Private,No
A00374,83264,48453.0,Unemployed,23,Married,4.0,510,4,0.32,337339,1492198.0,1445766,36,Home,Urban,Postgraduate,Female,Govt,No
A00375,135072,41971.0,Self-Employed,55,Married,4.0,304,5,0.38,352372,,1114113,180,Business,Semi-Urban,Undergraduate,Male,Self,No
A00376,140562,5253.0,Salaried,40,Single,0.0,864,0,0.37,426139,2640074.0,102000,120,Education,Rural,Undergraduate,Male,Private,Yes
A00377,66305,2955.0,Business,26,Married,,851,3,0.29,418583,,1123296,36,Business,Urban,Undergraduate,Female,Private,Yes
A00378,116217,48867.0,Self-Employed,43,Single,3.0,591,2,0.23,472220,2403143.0,696101,36,Education,Rural,Postgraduate,Female,Govt,No
A00379,168925,78372.0,Business,40,Single,0.0,447,1,0.66,555818,1456839.0,1045335,12,Business,Rural,Postgraduate,Female,Govt,No
A00380,160703,60570.0,Unemployed,45,Single,3.0,504,1,0.59,585771,2107665.0,657048,120,Business,Urban,Graduate,Male,Govt,No
A00381,83859,,Self-Employed,39,Single,0.0,427,5,0.12,193085,2113121.0,924841,120,Personal,Rural,Postgraduate,Female,Private,No
A00382,179625,,Salaried,53,Single,3.0,422,2,0.45,23397,1138577.0,1256415,180,Education,Semi-Urban,Graduate,Male,Private,No
A00383,109676,,Salaried,39,Married,4.0,349,2,0.56,674983,372234.0,1160677,240,Education,Rural,Postgraduate,Female,Self,No
A00384,93924,,Self-Employed,58,Single,3.0,398,4,0.41,155698,104096.0,787420,36,Education,Urban,Graduate,Male,Self,No
A00385,72963,24696.0,Business,25,Single,1.0,727,3,0.31,142606,,294455,240,Business,Rural,Undergraduate,Female,Govt,Yes
A00386,94871,3769.0,Salaried,30,Single,,527,1,0.23,242580,1339447.0,1492939,240,Home,Urban,Graduate,Female,Private,No
A00387,26145,25736.0,Salaried,53,Married,2.0,333,5,0.65,67144,2017473.0,1293980,180,Home,Urban,Graduate,Male,Self,No
A00388,67435,,Unemployed,30,Married,4.0,329,0,0.2,612913,,631698,120,Home,Urban,Undergraduate,Male,Self,No
A00389,71884,93822.0,Business,55,Single,2.0,588,1,0.65,765583,463917.0,59078,180,Education,Semi-Urban,Undergraduate,Male,Govt,No
A00390,108014,,Unemployed,35,Married,3.0,519,4,0.38,123327,1368187.0,904752,240,Personal,Rural,Postgraduate,Male,Govt,No
A00391,101013,64711.0,Self-Employed,50,Single,3.0,694,2,0.24,776934,,1309108,24,Home,Semi-Urban,Undergraduate,Female,Govt,No
A00392,18351,,Self-Employed,49,Single,,407,3,0.17,695537,2887524.0,1146102,120,Home,Rural,Graduate,Male,Private,No
A00393,67189,44385.0,Business,35,Single,,713,0,0.56,765427,,940669,60,Personal,Semi-Urban,Undergraduate,Female,Private,Yes
A00394,149064,36554.0,Salaried,28,Married,0.0,765,0,0.48,518111,2135717.0,575734,180,Home,Urban,Postgraduate,Male,Govt,Yes
A00395,115304,,Salaried,60,Single,,456,2,0.58,106013,,1357013,60,Business,Rural,Postgraduate,Female,Self,No
A00396,158293,2316.0,Salaried,45,Married,4.0,740,0,0.38,334839,,993960,180,Personal,Rural,Graduate,Female,Private,Yes
A00397,50255,,Salaried,57,Married,3.0,799,0,0.39,519382,,1465629,36,Business,Rural,Postgraduate,Female,Private,Yes
A00398,99012,8050.0,Business,44,Single,3.0,346,1,0.56,783103,2499335.0,781647,12,Business,Semi-Urban,Postgraduate,Female,Private,No
A00399,29797,86670.0,Salaried,40,Single,1.0,553,1,0.62,94067,2935644.0,1292628,12,Personal,Urban,Postgraduate,Female,Self,No
A00400,149941,,Self-Employed,51,Married,3.0,320,5,0.44,28316,,1283102,12,Education,Semi-Urban,Postgraduate,Female,Govt,No
A00401,176173,,Salaried,52,Single,4.0,746,1,0.27,83979,2297450.0,1382623,60,Education,Rural,Undergraduate,Male,Self,Yes
A00402,166569,,Salaried,57,Single,4.0,579,0,0.31,503355,1841411.0,1163721,240,Personal,Semi-Urban,Undergraduate,Female,Govt,No
A00403,123609,,Salaried,56,Single,2.0,827,3,0.45,24506,2683368.0,428747,180,Business,Rural,Undergraduate,Male,Self,Yes
A00404,67598,,Salaried,30,Married,3.0,451,1,0.29,319861,,1487192,36,Personal,Rural,Graduate,Female,Self,No
A00405,172609,,Business,30,Single,3.0,544,0,0.38,34049,,452477,180,Home,Urban,Graduate,Female,Govt,Yes
A00406,22639,,Self-Employed,23,Married,3.0,863,1,0.29,25875,282059.0,1068884,36,Home,Semi-Urban,Undergraduate,Male,Govt,Yes
A00407,44342,74838.0,Salaried,58,Single,2.0,834,5,0.24,269039,2132266.0,1151550,240,Business,Rural,Undergraduate,Male,Private,Yes
A00408,72149,18910.0,Self-Employed,38,Married,2.0,479,1,0.39,433212,1116636.0,971646,120,Business,Semi-Urban,Undergraduate,Male,Private,No
A00409,52987,,Business,22,Married,2.0,676,2,0.51,640242,196001.0,1403496,120,Business,Semi-Urban,Undergraduate,Female,Self,No
